Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic,Lag,Coefficient,t-Statistic
29,0.9943270384685587,1124.7968368457364,77,0.9936653188600914,1023.4175501359205,125,0.9942999503194304,989.2474112644187,173,0.9951932379472392,992.5395017395134,221,0.9955631357646444,971.2117494188834,269,0.996309789129785,985.1544347412627,317,0.9972568818215948,1026.4593243078261
30,0.9943893779762998,1128.8787402157836,78,0.9937405919888649,1027.5843284852938,126,0.9943843181632601,994.2775021804076,174,0.9952674727223889,996.6872315625326,222,0.9956541690465904,976.328044485777,270,0.9963778966589656,989.3334539970743,318,0.9973098968396524,1030.6820671117891
31,0.9944049899416668,1129.1342049867021,79,0.9937911970838935,1028.950160313572,127,0.9943898968107994,992.6091815679013,175,0.9952522505650291,994.9455536423574,223,0.9956093059300846,973.3256708068037,271,0.9964149295164308,991.2794784964971,319,0.997358972010808,1035.1120496870458
32,0.9944760691244566,1134.4424231281614,80,0.9938161927913822,1028.7073139485215,128,0.9944202398908057,992.8536112595197,176,0.9952496909147321,994.3421698211159,224,0.9956058859347732,971.8128654033878,272,0.9964203900572409,990.9790951210987,320,0.9973217343029295,1033.276534103901
33,0.9945816820583292,1143.5160958741014,81,0.9939256167857173,1034.9330880059024,129,0.9945328224291505,999.3010634061109,177,0.9953286844255934,998.989324697325,225,0.9957117452589707,977.7566538739578,273,0.9965522150147837,1000.2933139748495,321,0.997453432307277,1044.61417504012
34,0.9946293094415433,1148.3907197938972,82,0.9939654312655096,1035.3389254543583,130,0.9946631518788454,1005.5106587182526,178,0.9953338019072482,998.8605257641044,226,0.9957199151626354,977.9772745782842,274,0.996655326514986,1007.0458127029032,322,0.9975378451276027,1051.1969575678584
35,0.9947049646524042,1156.022380176018,83,0.9940679167169065,1040.61526759414,131,0.9947853865206905,1013.1067038094759,179,0.9954265342106386,1004.674521655363,227,0.9958029918958243,983.0155818860732,275,0.9967456092246394,1012.7361696976777,323,0.997625208855455,1059.4705313604156
36,0.994689763705434,1153.7205872338322,84,0.9941507362607758,1045.06567214162,132,0.9947853407366086,1011.4892248131025,180,0.9954563682305868,1005.4373366324005,228,0.9958413503063768,984.6911102591502,276,0.9967943088803477,1015.396439660086,324,0.9976535009606573,1062.3093865716426
37,0.9947362066435608,1158.9488810681582,85,0.9942104073931333,1047.9615688836318,133,0.9948151361058725,1012.3806409634009,181,0.9955167127077884,1008.3087209938616,229,0.9959417541950695,990.3820839450004,277,0.9968980972822157,1022.3604356214296,325,0.9977471046176623,1071.6840931421718
38,0.9947386234663801,1158.7675826527616,86,0.9942050098286399,1044.347532871798,134,0.9948778123319963,1015.8639039235923,182,0.9955469848272755,1009.6361605110299,230,0.9959552906962514,990.7490924858827,278,0.9969494613553632,1026.0398906947205,326,0.997856025246919,1080.4245078556257
39,0.9947599417364069,1161.655107537414,87,0.9943209742135222,1051.2275137536467,135,0.9949771976260491,1021.8166247776136,183,0.995600231151143,1012.4733998288514,231,0.9960008105490622,993.7962653299622,279,0.9970251567470721,1031.8694317350282,327,0.9979247194365448,1086.0352584630282
40,0.9947663867543437,1162.1452491218838,88,0.9943417224874711,1051.3332569823083,136,0.9950009601227133,1021.6353223609582,184,0.9956435437547348,1014.730115288655,232,0.9960159707197334,993.4046495988048,280,0.9970174953048097,1030.6546897505025,328,0.9979613134585076,1088.5874651700642
41,0.9948033901197065,1166.2522605710717,89,0.9944011679103905,1054.813013998054,137,0.995064817889065,1025.1731039575534,185,0.9957017470315197,1017.6517712111884,233,0.9960789618040244,996.8399998165553,281,0.9971056772118589,1037.872483195869,329,0.9980580202449998,1095.9284676368575
42,0.9948494741035904,1171.42764624073,90,0.9944861483052956,1060.5143369934262,138,0.9951089578397114,1026.726936816237,186,0.9957742932747786,1021.9326795788279,234,0.996184519694928,1002.9907065311647,282,0.9972351709808088,1047.3597456353698,330,0.9981658627527287,1105.2350653643396
43,0.9949333195202245,1179.6322730700324,91,0.9945815453702738,1066.3491961390987,139,0.9952557019891004,1036.4175396006472,187,0.9959133417981321,1031.1856647669429,235,0.996308975821256,1010.8287413729146,283,0.9974338413875561,1062.4804756081155,331,0.9983638764726205,1122.3794574380092
44,0.9950045340963902,1187.2701101594212,92,0.9946362955751777,1068.2826012566281,140,0.9953118461654831,1039.3679301026675,188,0.9960302128870775,1038.5526229445004,236,0.9964251144258569,1018.102917266563,284,0.99756320648718,1071.8670100166669,332,0.998501484055745,1134.6843391625825
45,0.9951027351083656,1197.6546854415344,93,0.9947779140746136,1078.7773647857205,141,0.9955010275869491,1052.2881121472403,189,0.9961274377761877,1045.4276232715833,237,0.9965813303530908,1028.5874500537263,285,0.9977151108809337,1083.7572299767087,333,0.9986329783613396,1146.8051646200981
46,0.9952030824749918,1207.8724696033096,94,0.9948690070195676,1084.4641810639555,142,0.9955996104693803,1058.6886253990708,190,0.9962194142595229,1051.7676703048533,238,0.9966853692477685,1035.405505151862,286,0.9978188604580777,1091.743655448744,334,0.9987136031191135,1154.5274337710257
47,0.9954178891835468,1233.6847911219595,95,0.9950360446004117,1096.6688451410869,143,0.9957388624191637,1068.9711935458324,191,0.9963693475943545,1062.3569976781541,239,0.9967898777847833,1042.7591125397134,287,0.9980074536831351,1108.1935654816534,335,0.9989303694876451,1177.1320393271849
